Team,Name,Hometown,Sport,Season,Year
Olympic,Deedra Irwin,"Pulaski, Wisconsin",Biathlon,Winter,2026
Olympic,Lucinda Anderson,"Golden Valley, Minnesota",Biathlon,Winter,2026
Olympic,Margaret Freed,"Apple Valley, Minnesota",Biathlon,Winter,2026
Olympic,Maxime Germain,"Juneau, Alaska",Biathlon,Winter,2026
Olympic,Paul Schommer,"Appleton, Wisconsin",Biathlon,Winter,2026
Olympic,Sean Doherty,"Center Conway, New Hampshire",Biathlon,Winter,2026
Olympic,Joanne Reid,"Palo Alto, California",Biathlon,Winter,2026
Olympic,Campbell Wright,"Wanaka, New Zealand",Biathlon,Winter,2026
Olympic,Elana Meyers Taylor,"Douglasville, Georgia",Bobsled,Winter,2026
Olympic,Boone Niederhofer,"San Antonio, Texas",Bobsled,Winter,2026
Olympic,Frank Del Duca,"Bethel, Maine",Bobsled,Winter,2026
Olympic,Jasmine Jones,"Greensburg, Pennsylvania",Bobsled,Winter,2026
Olympic,Joshua Williamson,"Sanford, Florida",Bobsled,Winter,2026
Olympic,Kristopher Horn,"Pembroke, Massachusetts",Bobsled,Winter,2026
Olympic,Hunter Powell,"Fort Collins, Colorado",Bobsled,Winter,2026
Olympic,Kaysha Love,"Herriman, Utah",Bobsled,Winter,2026
Olympic,Azaria Hill,"Santa Clarita, California",Bobsled,Winter,2026
Olympic,Bryan Sosoo,"Laurel, Maryland",Bobsled,Winter,2026
Olympic,Caleb Furnell,"Lees Summit, Missouri",Bobsled,Winter,2026
Olympic,Carsten Vissering,"Bethesda, Maryland",Bobsled,Winter,2026
Olympic,Kaillie Humphries,"Calgary, Alberta, Canada",Bobsled,Winter,2026
Olympic,Jadin O'Brien,"Pewaukee, Wisconsin",Bobsled,Winter,2026
Olympic,Jessie Diggins,"Afton, Minnesota",Cross-Country Skiing,Winter,2026
Olympic,Rosie Brennan,"Park City, Utah",Cross-Country Skiing,Winter,2026
Olympic,Julia Kern,"Waltham, Massachusetts",Cross-Country Skiing,Winter,2026
Olympic,Novie McCabe,"Winthrop, Washington",Cross-Country Skiing,Winter,2026
Olympic,Gus Schumacher,"Anchorage, Alaska",Cross-Country Skiing,Winter,2026
Olympic,Ben Ogden,"Landgrove, Vermont",Cross-Country Skiing,Winter,2026
Olympic,Zak Ketterson,"Bloomington, Minnesota",Cross-Country Skiing,Winter,2026
Olympic,James Schoonmaker,"Tahoe City, California",Cross-Country Skiing,Winter,2026
Olympic,Zanden McMullen,"Anchorage, Alaska",Cross-Country Skiing,Winter,2026
Olympic,John Steel Hagenbuch,"Ketchum, Idaho",Cross-Country Skiing,Winter,2026
